gain	21	2	-105.36
gain	2	22	-109.38
gain	22	2	-109.38
gain	2	23	-116.64
gain	23	2	-116.64
gain	2	24	-114.79
gain	24	2	-114.79
gain	2	25	-125.93
gain	25	2	-125.93
gain	2	26	-124.64
gain	26	2	-124.64
gain	2	27	-125.01
gain	27	2	-125.01
gain	2	28	-115.37
gain	28	2	-115.37
gain	2	29	-111.93
gain	29	2	-111.93
gain	2	30	-113.09
gain	30	2	-113.09
gain	2	31	-111.00
gain	31	2	-111.00
gain	2	32	-119.19
gain	32	2	-119.19
gain	2	33	-120.18
gain	33	2	-120.18
gain	2	34	-122.52
gain	34	2	-122.52
gain	2	35	-121.89
gain	35	2	-121.89
gain	2	36	-127.70
gain	36	2	-127.70
gain	2	37	-118.10
gain	37	2	-118.10
gain	2	38	-117.12
gain	38	2	-117.12
gain	2	39	-113.22
gain	39	2	-113.22
gain	2	40	-119.49
gain	40	2	-119.49
gain	2	41	-117.20
gain	41	2	-117.20
gain	2	42	-118.64
gain	42	2	-118.64
gain	2	43	-126.33
gain	43	2	-126.33
gain	2	44	-124.91
gain	44	2	-124.91
gain	2	45	-126.09
gain	45	2	-126.09
gain	2	46	-117.03
gain	46	2	-117.03
gain	2	47	-120.11
gain	47	2	-120.11
gain	2	48	-119.87
gain	48	2	-119.87
gain	2	49	-124.54
gain	49	2	-124.54
gain	2	50	-125.88
gain	50	2	-125.88
gain	2	51	-124.10
gain	51	2	-124.10
gain	2	52	-127.81
gain	52	2	-127.81
gain	2	53	-125.98
gain	53	2	-125.98
gain	2	54	-130.17
gain	54	2	-130.17
gain	2	55	-124.34
gain	55	2	-124.34
gain	2	56	-122.11
gain	56	2	-122.11
gain	2	57	-125.86
gain	57	2	-125.86
gain	2	58	-121.35
gain	58	2	-121.35
gain	2	59	-119.57
gain	59	2	-119.57
gain	2	60	-118.38
gain	60	2	-118.38
gain	2	61	-126.02
gain	61	2	-126.02
gain	2	62	-122.17
gain	62	2	-122.17
gain	2	63	-126.23
gain	63	2	-126.23
gain	2	64	-124.29
gain	64	2	-124.29
gain	2	65	-125.68
gain	65	2	-125.68
gain	2	66	-121.83
gain	66	2	-121.83
gain	2	67	-125.64
gain	67	2	-125.64
gain	2	68	-125.54
gain	68	2	-125.54
gain	2	69	-129.29
gain	69	2	-129.29
gain	2	70	-123.90
gain	70	2	-123.90
gain	2	71	-130.26
